Epoch: 4099, RMSE: 2.830960273742676, Test RMSE: 3.140434503555298, G_loss: 560.2467651367188, D_loss: -253.32211303710938, grad_pen: 463.1006046738545
Epoch: 4199, RMSE: 12421.185546875, Test RMSE: 12359.8759765625, G_loss: 15530039296.0, D_loss: -7725230592.0, grad_pen: 7615486215.347723
Epoch: 4299, RMSE: 2710.727783203125, Test RMSE: 2716.8720703125, G_loss: 1380514688.0, D_loss: -538479360.0, grad_pen: 745273984.8603418
Epoch: 4399, RMSE: 1205.5267333984375, Test RMSE: 1194.2960205078125, G_loss: 262561616.0, D_loss: -129655288.0, grad_pen: 133104395.01673283
Epoch: 4499, RMSE: 509.7953186035156, Test RMSE: 502.5614318847656, G_loss: 45497352.0, D_loss: -20412222.0, grad_pen: 31987797.276012413
Epoch: 4599, RMSE: 152.02134704589844, Test RMSE: 151.54005432128906, G_loss: 1988917.0, D_loss: 20502.75, grad_pen: 1749870.482008702
Epoch: 4699, RMSE: 71.6057357788086, Test RMSE: 66.14339447021484, G_loss: 201444.953125, D_loss: -34150.875, grad_pen: 170904.90931521473
Epoch: 4799, RMSE: 46.20658493041992, Test RMSE: 50.95812225341797, G_loss: 159084.09375, D_loss: -41146.1953125, grad_pen: 108304.28968570626
Epoch: 4899, RMSE: 49.42325973510742, Test RMSE: 48.46101379394531, G_loss: 179322.6875, D_loss: -77994.390625, grad_pen: 103592.79690910001
Epoch: 4999, RMSE: 59.36733627319336, Test RMSE: 61.078800201416016, G_loss: 282188.625, D_loss: -137841.875, grad_pen: 162150.81598687565
Epoch: 5099, RMSE: 501.28564453125, Test RMSE: 496.9580993652344, G_loss: 58606760.0, D_loss: -27650564.0, grad_pen: 10338149.303997144
Epoch: 5199, RMSE: 331.5488586425781, Test RMSE: 332.1861267089844, G_loss: 17002150.0, D_loss: -8183522.0, grad_pen: 6693767.97663386
Epoch: 5299, RMSE: 144.25706481933594, Test RMSE: 146.4267120361328, G_loss: 4159775.25, D_loss: -1753758.625, grad_pen: 1445013.8561552395
Epoch: 5399, RMSE: 220.82351684570312, Test RMSE: 220.37217712402344, G_loss: 5224369.0, D_loss: -420623.5, grad_pen: 1855781.6944795519
Epoch: 5499, RMSE: 465.8939514160156, Test RMSE: 474.51861572265625, G_loss: 18797894.0, D_loss: -9167288.0, grad_pen: 7502387.907707282
Epoch: 5599, RMSE: 95.28981018066406, Test RMSE: 96.56403350830078, G_loss: 780624.125, D_loss: -382054.84375, grad_pen: 289914.28565514344
Epoch: 5699, RMSE: 38.88042449951172, Test RMSE: 40.39302444458008, G_loss: 177823.84375, D_loss: -86947.046875, grad_pen: 62301.76945184867
Epoch: 5799, RMSE: 404.5366516113281, Test RMSE: 400.0176086425781, G_loss: 8685293.0, D_loss: -4499634.0, grad_pen: 1836616.5840092453
Epoch: 5899, RMSE: 105.69303131103516, Test RMSE: 104.55732727050781, G_loss: 1291504.375, D_loss: -636298.375, grad_pen: 565377.138708816
Epoch: 5999, RMSE: 18.1923885345459, Test RMSE: 17.33111572265625, G_loss: 28559.9921875, D_loss: -8397.623046875, grad_pen: 22016.950639887662
Epoch: 6099, RMSE: 10.028820037841797, Test RMSE: 9.64728832244873, G_loss: 18599.14453125, D_loss: -8428.9580078125, grad_pen: 9390.67694439912
Epoch: 6199, RMSE: 126.08985137939453, Test RMSE: 122.51973724365234, G_loss: 2961091.5, D_loss: -1395649.875, grad_pen: 1211096.185601587
Epoch: 6299, RMSE: 2296.856201171875, Test RMSE: 2279.8154296875, G_loss: 271792960.0, D_loss: -113335696.0, grad_pen: 150013868.68152076
Epoch: 6399, RMSE: 612.5720825195312, Test RMSE: 616.05078125, G_loss: 22709572.0, D_loss: 379730.0, grad_pen: 26213826.401727203
Epoch: 6499, RMSE: 284.6470031738281, Test RMSE: 276.6623229980469, G_loss: 4823644.0, D_loss: -1403370.0, grad_pen: 5462602.478952008
Epoch: 6599, RMSE: 162.30703735351562, Test RMSE: 158.4269256591797, G_loss: 2768759.5, D_loss: -895600.125, grad_pen: 1922108.3362882053
Epoch: 6699, RMSE: 172.40234375, Test RMSE: 174.3118896484375, G_loss: 2993394.0, D_loss: -1487679.0, grad_pen: 2215458.875416767
Epoch: 6799, RMSE: 245.92002868652344, Test RMSE: 236.5629425048828, G_loss: 8276847.0, D_loss: -3585835.0, grad_pen: 3717120.400247506
Epoch: 6899, RMSE: 218.50416564941406, Test RMSE: 221.7025604248047, G_loss: 4760572.5, D_loss: -2393823.0, grad_pen: 2736497.3846398685
Epoch: 6999, RMSE: 224.82943725585938, Test RMSE: 220.7913360595703, G_loss: 4419394.0, D_loss: -2231455.5, grad_pen: 1674947.3968423237
Epoch: 7099, RMSE: 644.3565063476562, Test RMSE: 638.7059936523438, G_loss: 56795504.0, D_loss: -26400636.0, grad_pen: 19780092.57699825
