Epoch: 99999, RMSE: 8.089080810546875, Test RMSE: 8.774270057678223, G_loss: 572.9672241210938, D_loss: -459.9320068359375, grad_pen: 1565.8073201156296
Epoch: 100099, RMSE: 3.9163765907287598, Test RMSE: 4.490673542022705, G_loss: 1767.6563720703125, D_loss: 4320.1416015625, grad_pen: 5101.314294455604
Epoch: 100199, RMSE: 2.21667218208313, Test RMSE: 2.2564518451690674, G_loss: 252.48434448242188, D_loss: -133.90621948242188, grad_pen: 76.69238416174359
Epoch: 100299, RMSE: 2.2411155700683594, Test RMSE: 2.1018013954162598, G_loss: 164.56881713867188, D_loss: -74.00738525390625, grad_pen: 41.38648278731069
Epoch: 100399, RMSE: 2.1107709407806396, Test RMSE: 2.003633975982666, G_loss: 202.27926635742188, D_loss: -103.20465087890625, grad_pen: 47.89611698422826
Epoch: 100499, RMSE: 1.9695965051651, Test RMSE: 2.118612766265869, G_loss: -371.14886474609375, D_loss: 29.769546508789062, grad_pen: 120.29633021243461
Epoch: 100599, RMSE: 3.744297981262207, Test RMSE: 3.378944158554077, G_loss: 1083.630859375, D_loss: -331.6062927246094, grad_pen: 391.2972822640938
Epoch: 100699, RMSE: 1.6896530389785767, Test RMSE: 1.2808573246002197, G_loss: 154.1114501953125, D_loss: -57.416709899902344, grad_pen: 28.800905495044677
Epoch: 100799, RMSE: 32.62885284423828, Test RMSE: 32.63096237182617, G_loss: 13813.6455078125, D_loss: -5337.47705078125, grad_pen: 6157.549532098105
Epoch: 100899, RMSE: 3.4179911613464355, Test RMSE: 3.892402172088623, G_loss: 221.6833038330078, D_loss: -67.52600860595703, grad_pen: 63.775017215779464
Epoch: 100999, RMSE: 3.054400682449341, Test RMSE: 2.394566774368286, G_loss: 211.57484436035156, D_loss: -55.98628234863281, grad_pen: 117.49919441167827
Epoch: 101099, RMSE: 2.1745877265930176, Test RMSE: 2.273437976837158, G_loss: 82.46505737304688, D_loss: 26.974327087402344, grad_pen: 131.89947292056226
Epoch: 101199, RMSE: 3.224154233932495, Test RMSE: 3.298959493637085, G_loss: 1090.78466796875, D_loss: -227.96099853515625, grad_pen: 534.5021616433093
