datetime,energy,temp,feelslike,dew,humidity,response
2023-01-05T01:00:00,15.6,24,24,22,88.62,2
2023-01-05T02:00:00,15.9,23.8,23.8,22.8,94.13,2
2023-01-05T03:00:00,16.5,24,24,23,94.15,2
2023-01-05T04:00:00,16.7,22.8,22.8,22.1,95.73,2
2023-01-05T05:00:00,15.7,22.8,22.8,22.1,95.74,2
2023-01-05T06:00:00,15.1,23,23,22,94.13,2
2023-01-05T07:00:00,23.9,23,23,23,100,2
2023-01-05T08:00:00,50.9,23.8,23.8,22.9,94.78,2
2023-01-05T09:00:00,96.4,25,25,23,88.68,2
2023-01-05T10:00:00,144,26.8,29.6,23.8,83.65,1
2023-01-05T11:00:00,163.3,28.8,32.6,23.2,71.79,1
2023-01-05T12:00:00,173.3,30,34.2,23.1,66.39,1
2023-01-05T13:00:00,163.8,31.1,36.3,23.7,65.02,1
2023-01-05T14:00:00,167.3,30.8,36.3,24.1,67.43,1
2023-01-05T15:00:00,180.4,31.1,37.7,24.9,69.72,1
2023-01-05T16:00:00,166.2,30.3,36.7,25.1,73.62,1
2023-01-05T17:00:00,128.7,24.8,24.8,24.2,96.28,2
2023-01-05T18:00:00,83.9,24.7,24.7,23.8,94.42,2
2023-01-05T19:00:00,76.1,25.7,25.7,24.1,90.53,2
2023-01-05T20:00:00,55.4,24.8,24.8,23.1,90.15,2
2023-01-05T21:00:00,46.6,24,24,24,99.92,2
2023-01-05T22:00:00,28.5,25,25,24,94.17,2
2023-01-05T23:00:00,16.1,25,25,23.9,93.54,2
2023-01-06T00:00:00,16.8,25.1,25.1,23.9,93.23,2
2023-01-06T01:00:00,15.2,25.1,25.1,23.9,93.24,2
2023-01-06T02:00:00,11.2,25,25,24.1,94.51,2
2023-01-06T03:00:00,11.1,24.8,24.8,24,95.47,2
2023-01-06T04:00:00,14.4,24.8,24.8,23.9,94.82,2
2023-01-06T05:00:00,15.8,24.8,24.8,23.8,94.18,2
2023-01-06T06:00:00,13,24.7,24.7,23.8,94.5,2
2023-01-06T07:00:00,26.4,24,24,23,94.15,2
2023-01-06T08:00:00,71.1,24.2,24.2,23.9,98.3,2
2023-01-06T09:00:00,106.7,27,30.1,24,83.7,1
2023-01-06T10:00:00,131.7,28.8,32.5,23.1,71.29,1
2023-01-06T11:00:00,138,30.7,35.2,23.1,63.76,1
2023-01-06T12:00:00,136.7,31.1,36.6,24,66.15,1
2023-01-06T13:00:00,154.4,31,37.7,25,70.38,1
2023-01-06T14:00:00,148.3,27.8,32.1,24.8,83.61,1
2023-01-06T15:00:00,134.9,27,30.7,25,88.67,1
2023-01-06T16:00:00,135,25.8,25.8,23.1,85.13,2
2023-01-06T17:00:00,110.8,26.1,26.1,23.8,87.15,1
2023-01-06T18:00:00,90.6,28,32.7,25,83.72,1
2023-01-06T19:00:00,79.7,27.8,32.8,25.7,88.52,1
2023-01-06T20:00:00,59.8,27.1,30.8,25.1,88.79,1
2023-01-06T21:00:00,43.3,26.7,30,25,90.25,1
2023-01-06T22:00:00,37.2,25.8,25.8,23.7,88.39,2
2023-01-06T23:00:00,22.6,25.1,25.1,23.2,89.26,2
2023-01-07T00:00:00,19.6,25,25,23.1,88.94,2
2023-01-07T01:00:00,17.9,24.8,24.8,23.1,90.16,2
2023-01-07T02:00:00,17.7,24.8,24.8,23.1,90.16,2
2023-01-07T03:00:00,15,24.7,24.7,23,90.17,2
2023-01-07T04:00:00,16.3,24.1,24.1,23.1,94.12,2
2023-01-07T05:00:00,15.7,24.1,24.1,23.2,94.76,2
2023-01-07T06:00:00,14.6,24,24,23,94.12,2
2023-01-07T07:00:00,17.8,24,24,23.1,94.44,2
2023-01-07T08:00:00,34.1,24,24,23.1,94.44,2
2023-01-07T09:00:00,47.3,24.8,24.8,23.9,94.77,2
2023-01-07T10:00:00,62.1,26,26,24,88.69,2
2023-01-07T11:00:00,66.9,28,31.9,23.9,78.34,1
2023-01-07T12:00:00,82.6,29.8,33.7,22.9,66.58,1
2023-01-07T13:00:00,94.6,29.8,34.5,23.7,69.96,1
2023-01-07T14:00:00,102.5,29.8,34.7,23.9,70.66,1
2023-01-07T15:00:00,105.1,30,36.2,25,74.53,1
2023-01-07T16:00:00,105.1,27.3,31.8,25.7,91,1
2023-01-07T17:00:00,82.5,28.8,34,24.9,79.49,1
2023-01-07T18:00:00,53.1,27.8,32.1,24.7,83.43,1
2023-01-07T19:00:00,50.7,27.1,30.3,24.1,83.65,1
2023-01-07T20:00:00,33.8,27,30.1,24.1,83.94,1
2023-01-07T21:00:00,35.5,27,30.1,24,83.68,1
2023-01-07T22:00:00,27.8,27,30.6,25,88.81,1
2023-01-07T23:00:00,15.8,26.2,26.2,24.1,88.15,1
2023-01-08T00:00:00,15.2,26,26,24,88.74,2
2023-01-08T01:00:00,17.5,25,25,24,94.14,2
2023-01-08T02:00:00,13.1,25.1,25.1,23.9,93.19,2
2023-01-08T03:00:00,10.3,24,24,24,99.92,2
2023-01-08T04:00:00,13.5,25,25,24,94.17,2
2023-01-08T05:00:00,14.7,24.8,24.8,23.8,94.16,2
2023-01-08T06:00:00,13.5,25,25,23,88.68,2
2023-01-08T07:00:00,18.4,24.1,24.1,23.2,94.79,2
2023-01-08T08:00:00,41.5,24.1,24.1,23.1,94.13,2
2023-01-08T09:00:00,52.4,24.8,24.8,23.2,90.8,2
2023-01-08T10:00:00,82.4,25.7,25.7,24.1,90.52,2
2023-01-08T11:00:00,93.1,26.7,29.6,24,85.03,1
2023-01-08T12:00:00,92,27,29.7,23,78.72,1
2023-01-08T13:00:00,109.2,29,33.6,24,74.43,1
2023-01-08T14:00:00,115.7,29.8,35.5,24.7,74.28,1
2023-01-08T15:00:00,123.4,30.7,36,23.9,66.98,1
2023-01-08T16:00:00,117.6,31,37.7,25,70.46,1
2023-01-08T17:00:00,88.1,30.1,35,23.8,69.14,1
2023-01-08T18:00:00,75.2,29,33.6,24,74.47,1
2023-01-08T19:00:00,72.5,28,32,24,78.92,1
2023-01-08T20:00:00,60.3,26.7,29.6,24,85.06,1
2023-01-08T21:00:00,53.5,26.7,29.6,24.2,85.93,1
2023-01-08T22:00:00,43.6,26.7,29.6,24.2,85.92,1
2023-01-08T23:00:00,29.5,26.1,26.1,24.7,92.28,1
2023-01-09T00:00:00,23.3,26,26,24,88.74,2
2023-01-09T01:00:00,23.8,25,25,24,94.14,2
2023-01-09T02:00:00,24.3,25.1,25.1,24.1,94.14,2
2023-01-09T03:00:00,20.1,25,25,24,94.14,2
2023-01-09T04:00:00,20.2,25.1,25.1,23.9,93.21,2
2023-01-09T05:00:00,22.8,24.7,24.7,23.8,94.47,2
2023-01-09T06:00:00,18.9,24.8,24.8,23.7,93.84,2
2023-01-09T07:00:00,34.1,24.1,24.1,23.2,94.79,2
2023-01-09T08:00:00,71.3,24.8,24.8,23.7,93.84,2
2023-01-09T09:00:00,161.3,26.8,29.7,24.1,85.08,1
2023-01-09T10:00:00,187.1,28.1,32,23.9,78.1,1
2023-01-09T11:00:00,199.5,29.8,35.5,24.7,74.3,1
2023-01-09T12:00:00,189.9,30.8,36.3,24.1,67.42,1
2023-01-09T13:00:00,183.7,31,36.6,24,66.33,1
2023-01-09T14:00:00,185,31,36.4,23.9,65.88,1
2023-01-09T15:00:00,204.7,31.8,37.5,23.9,63.07,2
2023-01-09T16:00:00,192.4,32,37,23.2,59.67,1
2023-01-09T17:00:00,153.5,30.8,36.3,24.1,67.45,1
2023-01-09T18:00:00,100.8,29.8,35,24.2,71.94,1
2023-01-09T19:00:00,85.1,28.8,33.9,24.8,79,1
2023-01-09T20:00:00,70.3,27.3,31.3,25,87.33,1
2023-01-09T21:00:00,61.7,27,30.6,25,88.79,1
2023-01-09T22:00:00,42.8,27.1,30.7,24.9,87.92,1
2023-01-09T23:00:00,29.4,27,30.6,24.9,88.2,1
2023-01-10T00:00:00,16,27,30.6,25,88.79,1
2023-01-10T01:00:00,16.8,26.8,30,24.7,88.48,1
2023-01-10T02:00:00,18.3,26.2,26.2,24.2,88.75,1
