Index,energy,temp,feelslike,dew,humidity,response
1447,7.1,23,23,22,94.11,2
1448,17.4,24,24,22,88.65,2
1449,56.8,23.8,23.8,22.2,90.76,2
1450,101.5,24.8,24.8,22.8,88.69,2
1451,123.7,26.1,26.1,22.8,82.16,1
1452,139.2,27.8,30.4,22.1,71.12,1
1453,145.8,29,32.8,23,70.09,1
1454,151.9,28.8,32.4,22.9,70.51,1
1455,161.4,29.1,33.4,23.7,72.9,1
1456,163.6,28.8,33.1,23.8,74.39,1
1457,153,27.8,31.4,23.7,78.63,1
1458,148,28,31.4,23.2,75.1,1
1459,106.9,27.3,30,22.8,76.44,1
1460,94.1,25.8,25.8,24,89.98,2
1461,75.9,24.9,24.9,23.8,93.55,2
1462,61.3,24.1,24.1,23.7,97.96,2
1463,28.3,25,25,24,94.19,2
1464,22.7,24.1,24.1,23,93.83,2
1465,16.7,24,24,23,94.15,2
1466,11.7,23.8,23.8,23,95.45,2
1467,13,23.9,23.9,23.1,95.11,2
1468,12.3,23.8,23.8,22.9,94.79,2
1469,13.2,24,24,23,94.15,2
1470,12.6,24,24,22.9,93.53,2
1471,11.3,24,24,23,94.18,2
1472,23.6,24,24,23,94.18,2
1473,58,24,24,24,99.97,2
1474,76.9,25,25,24,94.19,2
1475,106.3,25,25,24,94.16,2
1476,104.2,26,26,24.9,94.17,2
1477,104.5,27,30.5,24.9,88.81,1
1478,86.5,28,31.8,23.9,78.86,1
1479,86,25,25,23.9,94.1,2
1480,77.1,24.8,24.8,23.2,90.77,2
1481,73.7,25,25,24,94.14,2
1482,78.5,24.8,24.8,23.9,94.78,2
1483,79,25,25,24,94.14,2
1484,78.8,24,24,23,94.15,2
1485,64.3,24.1,24.1,23.2,94.8,2
1486,54.2,24,24,23,94.17,2
1487,33.4,24,24,23,94.17,2
1488,29.4,23.8,23.8,23,95.44,2
1489,23.9,24,24,23,94.15,2
1490,21.2,24,24,23,94.15,2
1491,17.2,23.8,23.8,22.9,94.79,2
1492,18.6,23.3,23.3,22.8,96.96,2
1493,18,24,24,23,94.15,2
1494,17.1,23.7,23.7,22.9,95.11,2
1495,18.1,23.8,23.8,22.9,94.79,2
1496,19.1,24,24,23,94.17,2
1497,25.2,23.8,23.8,22.9,94.79,2
1498,29.4,24,24,23,94.15,2
1499,52.8,25,25,24,94.17,2
1500,62.5,26.1,26.1,23.2,84.14,1
1501,68.9,28,32,24,78.88,1
1502,64.7,28.3,31.8,23.1,73.29,1
1503,72.7,29.3,32.9,22.7,67.76,1
1504,54.8,30,33.3,22,62.26,1
1505,51.9,29.8,33.2,22.2,63.71,1
1506,54.4,29.3,32.3,21.9,64.43,1
1507,52,28.1,30.3,21.2,66.22,1
1508,52.8,28,30.1,21,65.75,1
1509,51.8,26.9,28.7,21.1,70.44,1
1510,35.5,26.1,26.1,21.1,74,1
1511,18.1,26,26,21.2,74.74,2
1512,12.4,26,26,21,73.99,2
1513,13,25.7,25.7,21.8,78.88,2
1514,11.3,25,25,21,78.52,2
1515,11.1,24.2,24.2,21.2,83.34,2
1516,11.1,23,23,21,88.49,2
1517,11.4,23,23,21,88.52,2
1518,10.4,22.1,22.1,21.1,94.04,2
1519,10.1,22.8,22.8,21.9,94.71,2
1520,12.2,23,23,22,94.08,2
1521,19.2,23,23,21.8,92.79,2
1522,40.8,25,25,22,83.45,2
1523,64.4,25.8,25.8,21.9,79.11,2
1524,70.8,28,30.1,20.9,65.41,1
1525,86.7,30.1,33.2,21.8,61.23,1
1526,89.1,31.8,34.8,21.2,53.51,1
1527,89.8,32.8,36.8,22,53.18,1
1528,87.1,33,36.8,21.7,51.62,1
1529,86.6,31.1,35.5,22.9,61.81,1
1530,92.7,28.8,32.6,23.2,71.69,1
1531,82.2,28.1,31.4,23,74.02,1
1532,77.9,25.8,25.8,23.8,88.67,2
1533,72.4,24.8,24.8,23.2,90.81,2
1534,53.6,24.1,24.1,23.1,94.15,2
1535,34.9,24.1,24.1,23,93.82,2
1536,26,24,24,23.1,94.45,2
1537,19.4,23.7,23.7,22.8,94.44,2
1538,17.1,24,24,21.2,84.26,2
1539,13.9,24,24,21.1,83.68,2
1540,11.6,24,24,20.8,82.24,2
1541,12.4,23,23,21,88.54,2
1542,12,23.1,23.1,20.2,83.86,2
1543,12,23,23,21,88.54,2
1544,19.2,22,22,20,88.46,2
1545,68.6,22.1,22.1,21.1,94.06,2
1546,94.7,25,25,21,78.48,2
1547,132,28,30.2,21.1,66.01,1
1548,136.9,29.8,32.2,20.9,58.94,1
1549,116.6,30,32.6,21,58.57,1
1550,125.2,31,33,20,52,1
1551,100.9,31.8,34,20.2,50.3,1
1552,138.9,31,34.6,22,58.85,1
1553,144.5,31,34.6,22,58.85,1
1554,132.9,30.7,34.9,22.8,62.7,1
1555,110.2,30,34.1,23,66.29,1
1556,89.3,28,31.3,23,74.34,1
1557,69.9,26.8,29.2,22.9,79.31,1
1558,49.7,26,26,23,83.57,2
1559,31.4,25,25,23,88.68,2
1560,22.4,24.7,24.7,23,90.18,2
1561,17.3,24.1,24.1,22.9,93.19,2
1562,13.8,24,24,22,88.62,2
1563,12.9,23.2,23.2,21.9,92.49,2
1564,12.7,23,23,21.8,92.82,2
1565,13.7,23,23,22,94.11,2
1566,12.6,22.2,22.2,21.2,94.07,2
1567,13.2,23.3,23.3,21.1,87.36,2
1568,22.6,24,24,21,83.39,2
1569,52.7,24.7,24.7,20.9,79.33,2
1570,79,27,28.8,21,69.76,1
1571,122.3,29,30.8,20,58.35,1
1572,118.1,31,32.9,19.8,51.29,1
1573,119.1,33,35.3,20,46.44,1
1574,133.5,33.1,35.2,19.8,45.64,1
1575,150.8,34,37.2,20.9,46.36,1
1576,116.2,32.1,35.9,22,55.49,1
1577,148.5,31.7,35.4,21.9,56.08,1
1578,135.6,31.1,34,21.2,55.74,1
1579,115.3,30.1,32.7,21.1,58.61,1
1580,98.4,29,32,22,66.03,1
1581,75.2,27.1,29.7,23,78.51,1
1582,61.8,26,26,23,83.54,2
1583,37.7,26,26,24,88.74,2
1584,26.8,27.1,29.3,21.9,73.45,1
1585,22.2,27,29.2,21.9,73.69,1
1586,16.2,26.7,28.7,21.7,74.15,1
1587,14.4,26.1,26.1,20.1,69.6,1
1588,15.4,26,26,20.9,73.48,2
1589,14.4,25,25,21,78.52,2
1590,17.9,25,25,21.1,78.82,2
1591,14.9,25,25,21,78.55,2
1592,28.2,24.8,24.8,21,79.62,2
1593,61.6,25.1,25.1,20.8,77.18,2
1594,89,27,28.8,21,69.76,1
1595,118.4,29,31.4,21,62.06,1
1596,122,30.9,33.7,21.1,55.89,1
1597,130.6,32,35.5,21.7,54.61,1
1598,134.9,33.3,37.6,22.2,52.22,1
1599,132.8,32.8,36.9,22.2,53.71,1
1600,138.5,32,37.9,24,62.63,1
1601,155.1,31.1,36.5,23.9,65.62,1
1602,134.2,30.8,35.9,23.7,66.1,1
1603,118.7,30.1,35,23.8,69.11,1
1604,104.1,29,33.6,24,74.43,1
1605,104.7,27.2,30.4,23.9,82.21,1
1606,79.1,26.1,26.1,23.8,87.22,1
1607,35.9,25.8,25.8,23.8,88.69,2
1608,26.8,25.7,25.7,23.2,85.83,2
1609,17.8,26,26,23,83.54,2
1610,11.8,26,26,22.9,83,2
1611,12,26.7,28.9,22.2,76.2,1
1612,10.4,27,29.2,22,74.18,1
1613,11.4,26,26,22,78.68,2
1614,12,26.1,26.1,20.9,73.28,1
1615,12.6,26,26,21,74.05,2
1616,26.4,26,26,20.9,73.52,2
1617,75.4,26.3,26.3,20.9,72.32,1
1618,100.2,28,30.1,21,65.79,1
1619,115.5,30,32.6,21,58.58,1
1620,126.3,31.8,36.2,22.7,58.77,1
1621,138.4,32.8,36,21.2,50.56,1
1622,113.5,34,38.3,22,49.66,1
1623,165,34.2,39.3,22.8,51.52,1
1624,175,34.1,38.1,21.8,48.82,1
1625,165.6,34.8,41.7,24.1,53.91,1
1626,143.7,32.1,38.1,24.1,62.71,1
1627,115,31,34.6,22.1,59.1,1
1628,105,30,32.6,21,58.65,1
1629,108.1,29,32.1,22.1,66.07,1
1630,82.6,28.3,30.9,21.7,67.69,1
1631,40.2,28,30.7,22,70,1
1632,28.4,27.1,29.3,22,73.95,1
1633,23,27.1,29.3,22.1,74.2,1
1634,17.6,27.1,29.3,22.1,74.19,1
1635,17.7,27.1,29.3,22.1,74.16,1
1636,16.2,27,29.2,21.9,73.68,1
1637,14.9,26.1,26.1,21.9,77.88,1
1638,16.9,25.8,25.8,21.8,78.65,2
1639,16.6,25,25,22,83.48,2
1640,27.2,25.1,25.1,21.7,81.78,2
1641,73.6,25.7,25.7,21.9,79.47,2
1642,115.5,28.1,30.6,21.8,68.79,1
1643,144.6,30.1,33.4,22.1,62.31,1
1644,137.9,31.3,34.1,21.1,54.66,1
1645,143.9,32.8,36.6,21.9,52.83,1
1646,148.3,33.1,36.3,21.2,49.77,1
1647,151.5,33.8,38,22,50.29,1
1648,146.9,33,38.1,23.1,55.99,1
1649,151,32,37.7,23.8,61.84,1
1650,164.4,31.3,36,23.2,62.19,1
1651,120.9,30.3,34.4,22.9,64.71,1
1652,88.6,29,32.6,22.8,69.22,1
1653,89.9,28,31.3,23.1,74.64,1
1654,72.3,28,31.9,24,78.98,1
1655,38.2,28,31.2,22.9,73.88,1
1656,27.7,27.2,29.9,22.9,77.54,1
1657,21.7,27.1,29.6,22.8,77.53,1
1658,15.7,26.7,29.1,23,80.17,1
1659,15.7,26.2,26.2,22.9,82.22,1
1660,17.2,27,29.2,22,74.22,1
1661,15.1,27,29.2,22,74.22,1
1662,16.4,26,26,22.9,83.04,2
1663,13.1,26,26,22,78.71,2
1664,20,26.1,26.1,21.9,77.91,1
1665,37.7,25.1,25.1,22.9,87.81,2
1666,70.1,27.1,29.8,23.1,78.81,1
1667,84.6,29.1,32.6,22.7,68.7,1
1668,100.2,31.1,35.3,22.8,61.46,1
1669,102.8,31.7,36.2,22.8,59.18,1
1670,104.3,31,35.5,23,62.48,1
1671,106.4,31.7,36.4,23,59.98,1
1672,104.2,31,36.6,24,66.38,1
1673,109,31.8,37.5,23.9,63.09,1
1674,99.9,31.8,37.5,23.9,63.16,1
1675,80.8,30.7,35.9,23.8,66.59,1
1676,70.4,29.7,34.7,24.1,71.78,1
1677,62.7,27.1,30.2,23.9,82.88,1
1678,43.5,26,26,24.2,89.68,2
1679,32,25.1,25.1,24.1,94.19,2
1680,30.4,25.1,25.1,23.9,93.24,2
1681,31.2,25,25,24,94.19,2
1682,24.7,24.8,24.8,23.9,94.82,2
1683,24.2,25,25,24.1,94.5,2
1684,18.4,25,25,24,94.19,2
1685,19.4,25.1,25.1,24.1,94.19,2
1686,21.1,25,25,23.9,93.55,2
1687,24.6,25,25,24,94.19,2
1688,24.5,24,24,24,99.97,2
1689,40.4,24.8,24.8,23.9,94.8,2
1690,55.6,27,30.1,24,83.68,1
1691,74.2,28.8,33.1,23.9,74.94,1
1692,87.6,30.2,35.3,23.9,69.13,1
1693,93.9,31,36.6,24,66.36,1
1694,95.2,32.7,39.8,24.7,62.84,1
1695,91.5,31.9,37.8,24,63.1,1
1696,100.5,30.8,36.4,24.2,68,1
1697,104.6,32,39,24.9,66.21,1
1698,70.5,29.8,36.9,25.9,79.74,1
1699,62.5,27,30.5,24.8,87.62,1
1700,65,26.1,26.1,24.8,92.57,1
1701,66.7,25.8,25.8,24.7,93.86,2
1702,51.5,25,25,24,94.14,2
1703,30.7,25,25,24,94.17,2
1704,28.8,25.1,25.1,24.1,94.17,2
1705,28.1,25,25,23.9,93.54,2
1706,18.8,25,25,24,94.19,2
1707,13.9,24.8,24.8,23.1,90.21,2
1708,14.9,24,24,23,94.15,2
1709,16.6,24,24,23,94.15,2
1710,15.9,23.8,23.8,22.8,94.13,2
1711,16.7,24.7,24.7,21.9,84.31,2
1712,32.5,25,25,22,83.48,2
1713,85.3,25.7,25.7,22,80,2
1714,122.1,27,29.2,22,74.16,1
1715,126.6,27.8,29.9,21,66.64,1
1716,130.9,29.1,31.4,21,61.86,1
1717,88,30.1,32.1,20.2,55.48,1
1718,128.5,31.8,33.9,20.1,49.98,1
1719,141.5,31.8,34,20.1,49.96,1
1720,155.3,31.7,34.4,20.7,52.22,1
1721,160.3,32,34.9,21,52.3,1
1722,142.6,30.8,33.3,20.8,55.28,1
1723,107,30.1,32.1,20.2,55.5,1
1724,100.5,29.3,31.7,21,61.06,1
1725,69.8,28.8,31,20.9,62.45,1
1726,54.9,29,31.4,21,62.08,1
1727,39.8,28.1,30.6,21.8,68.72,1
1728,35.1,27.7,30.3,22.1,71.38,1
1729,16.9,26.1,26.1,22.1,78.63,1
1730,12.1,26,26,21.9,78.11,2
1731,13.2,26,26,21.9,78.12,2
1732,11.1,26,26,20.1,69.83,2
1733,11.9,25.3,25.3,19.9,72.09,2
1734,13,25.7,25.7,19.7,69.55,2
1735,12.2,25.1,25.1,19.7,72.33,2
1736,27,25,25,19.2,70.16,2
1737,61,25.3,25.3,19.7,71.36,2
1738,94.3,27,28.5,19.9,65.13,1
1739,118.3,29,30.8,20,58.34,1
1740,123.6,30.1,31.9,19.9,54.5,1
1741,134.3,32,34.2,20,49.13,1
1742,153.9,32,34.2,20,49.13,1
1743,153.3,32,33.5,19.1,46.33,1
1744,166.4,30.3,33.8,22.2,61.82,1
1745,165.8,31.8,35.6,22.1,56.45,1
1746,131.9,30.8,34.3,22.1,59.73,1
1747,98.1,29.8,31.2,19.2,53.02,1
1748,90,29.3,32.4,22.1,65.14,1
1749,70.32,27.7,30.7,22.7,74.23,1
1750,53.7,27.1,29.6,22.7,77.15,1
1751,38.6,27,29.6,23,78.74,1
1752,30.1,25.9,25.9,23.2,84.93,2
1753,29.3,26.1,26.1,21.8,77.29,1
1754,26.5,26,26,21.7,77.32,2
1755,27.1,25.1,25.1,21.1,78.53,2
1756,22.6,24.1,24.1,21.8,87.05,2
1757,23.7,24.8,24.8,20.1,75.11,2
1758,18.5,24.8,24.8,19.9,74.34,2
1759,17.1,23,23,21.2,89.44,2
1760,20.9,22.1,22.1,21.1,94.03,2
1761,49.8,23.7,23.7,21,84.78,2
1762,83.7,26,26,20.9,73.46,2
1763,121.4,29.1,31,20.2,58.79,1
1764,117.6,31,33.6,20.8,54.56,1
1765,124.8,32,34.9,21,52.25,1
1766,155.5,32.8,34.9,19.7,46.23,1
1767,176.6,33,36.3,21.2,49.89,1
1768,194.4,32,36.8,23,58.97,1
1769,181.4,32,34.9,21,52.28,1
1770,166.4,31.9,35.8,22.2,56.5,1
1771,122,30.8,33.6,21.2,56.61,1
1772,91.4,29.1,32.8,22.9,69.32,1
1773,66.1,28,32,24,79.06,1
1774,60.1,27.1,30.6,24.8,87.24,1
1775,31.1,27.8,30.2,21.8,69.88,1
1776,27.6,27.1,29.2,21.7,72.62,1
1777,21.7,26,26,22,78.6,2
1778,16.8,26.8,28.5,20.8,69.7,1
1779,14.6,26.1,26.1,20.8,72.69,1
1780,17.4,25.7,25.7,20.8,74.16,2
1781,15.6,26,26,21,73.95,2
1782,16.7,25.8,25.8,20.2,71.23,2
1783,14.4,24.8,24.8,21.7,83.09,2
1784,32.1,24,24,21,83.27,2
1785,80,24.7,24.7,21.9,84.24,2
1786,94.3,27,28.6,20.2,66.28,1
1787,123.1,29,31.4,21,62.08,1
1788,125.3,31.1,33.7,20.9,54.77,1
1789,132.6,32.3,35.1,20.8,50.73,1
1790,143.3,33.1,36.2,21.1,49.41,1
1791,156.5,33.1,36.9,21.8,51.62,1
1792,155.5,33.8,37.1,21.1,47.46,1
1793,170.7,33.8,37.1,21,47.3,1
1794,148.9,31.1,36.8,24.2,66.79,1
1795,79.5,30.8,35.9,23.7,66.09,1
1796,94,29.7,34.6,23.9,70.91,1
1797,70.2,28.8,32.6,23.2,71.74,1
1798,58.2,27,30.6,25,88.74,1
1799,37.9,26.8,29.8,24.2,85.6,1
1800,31.2,26.3,26.3,23.9,86.66,1
1801,21.9,26.7,29.1,22.8,79.01,1
1802,18,26,26,22.7,82.13,2
1803,16.9,25.2,25.2,22.2,83.47,2
1804,18.2,26,26,21,73.99,2
1805,16.9,26,26,21,74.01,2
1806,19.9,26,26,20.9,73.5,2
1807,16.5,26,26,21,74.01,2
1808,18.8,25.1,25.1,21.1,78.53,2
1809,62.7,24.1,24.1,21.8,87.09,2
1810,119.3,27.1,29.3,21.9,73.39,1
1811,130.3,30.3,32.9,21.1,57.86,1
1812,134,31.3,34.7,21.8,57.08,1
1813,138.7,32.1,35.8,21.9,54.99,1
1814,155.6,34,37.3,21,46.72,1
1815,162.6,33.1,36.1,20.9,48.9,1
1816,175.8,32.8,38.7,23.8,59.16,1
1817,156.6,32.8,39,24.1,60.22,1
1818,158.3,32.1,37.7,23.7,61.44,1
1819,136.7,30.8,35.1,22.9,62.99,1
1820,111,29.8,34.6,23.9,70.82,1
1821,80.8,28.8,33.9,24.8,79.07,1
1822,68,27.8,32.2,24.9,84.37,1
1823,39.3,27.1,30.7,24.9,87.96,1
1824,28,27.7,31.4,23.9,79.74,1
1825,31.2,27,29.6,23,78.82,1
1826,25.9,26.8,29.1,22.8,78.81,1
1827,24.7,26.1,26.1,22.8,82.2,1
1828,26.2,25,25,23,88.7,2
1829,21.4,25,25,22,83.5,2
1830,19.3,24.9,24.9,21.9,83.47,2
1831,15.3,23.8,23.8,21.9,89.22,2
1832,23.5,23,23,21.9,93.44,2
1833,51.3,24,24,22.2,89.52,2
1834,72.5,27,29.6,23,78.76,1
1835,90.8,30,33.3,22,62.31,1
1836,105.9,31.7,35.4,21.9,56.09,1
1837,112.4,33,38.1,23,55.81,1
1838,118.9,33.8,37.1,21.1,47.48,1
1839,123.4,34.1,38.4,22.1,49.66,1
1840,115.2,33,38.1,23,55.81,1
1841,122.5,32.3,38.4,24.1,61.93,1
1842,107.7,32,36.9,23.1,59.25,1
1843,94.3,31,35.5,23,62.61,1
1844,86.3,30,35,23.9,69.89,1
1845,72,28.8,33.4,24.2,76.28,1
1846,58.2,28,32.7,25,83.83,1
1847,34.4,27.1,30.2,24,83.43,1
1848,29.7,27.8,30.9,23,75.36,1
1849,30.3,28,30.5,21.8,69.06,1
1850,29.5,27.1,29.2,21.8,72.95,1
1851,28.9,27.1,29,21.2,70.32,1
1852,27.5,27,29.2,22,74.22,1
1853,27.9,26,26,22,78.71,2
1854,25.8,26.2,26.2,21.7,76.59,1
1855,22.5,26,26,21.1,74.29,2
1856,22.4,25.8,25.8,21.1,75.31,2
1857,33,26,26,21.9,78.15,2
1858,62.9,29.1,31.4,21,61.94,1
1859,80.4,30.7,34.1,21.9,59.39,1
1860,87.1,31.3,34.8,21.9,57.48,1
1861,95.6,33.1,37.8,22.7,54.66,1
1862,104,34,39.4,23,52.75,1
1863,107.4,34.8,39.3,22.1,47.74,1
1864,103.7,32.8,38.8,23.9,59.58,1
1865,118.7,33,38.1,23,55.84,1
1866,106.6,31.1,35.8,23.2,62.92,1
1867,86.6,32,36.8,23,59.06,1
1868,86.5,29.8,33.7,22.8,66.15,1
1869,78,27.9,31,22.8,73.78,1
1870,68.5,27,29.7,23,78.76,1
1871,43.7,27,29.7,23,78.8,1
1872,28.5,26.8,29.2,22.9,79.31,1
1873,32.2,27.1,30.1,23.8,82.28,1
1874,28.9,27.3,30.6,23.9,81.76,1
1875,29.5,27,30,23.7,82.28,1
1876,28.1,27,29.6,23,78.8,1
1877,28.5,26.3,26.3,23.1,82.49,1
1878,23.6,25.8,25.8,23.2,85.6,2
1879,29,26,26,23.1,83.89,2
1880,46.4,25.8,25.8,23.1,85.02,2
1881,87.6,25.7,25.7,23.1,85.3,2
1882,137.6,27,30.1,24,83.66,1
1883,179.6,29,32.8,23,70.13,1
1884,162.9,30.1,35.3,24.1,70.3,1
1885,163.9,31.1,36.6,24,66.16,1
1886,130,33,38.2,23.1,56.03,1
1887,175.1,33,40.3,24.8,62.08,1
1888,149.5,27.8,32.9,25.8,88.8,1
1889,165.7,30,36.2,25,74.65,1
1890,139.6,31.3,38.4,25.2,70.13,1
1891,114.4,31,36.4,23.9,66,1
1892,93.9,29.8,34.5,23.7,70.07,1
1893,95.5,27.1,29.4,22.2,74.71,1
1894,76.8,24.8,24.8,22.9,89.27,2
1895,42.5,25,25,23.1,88.98,2
1896,30.7,25,25,23.2,89.59,2
1897,30.1,24.8,24.8,23.2,90.83,2
1898,28.9,24.8,24.8,23.7,93.86,2
1899,31.7,24.7,24.7,23.2,91.14,2
1900,28.9,24,24,23.1,94.47,2
1901,33.3,25,25,23,88.7,2
1902,26.8,24.2,24.2,23.1,93.52,2
1903,27.2,24,24,23,94.15,2
1904,35,24,24,23,94.15,2
1905,87.4,24.1,24.1,23,93.83,2
1906,131.2,26.1,26.1,23.8,87.27,1
1907,147.2,27.8,31,23.2,76.12,1
1908,152.4,29.7,33.9,23.2,68,1
1909,131.8,29,33.6,24,74.47,1
1910,142.5,28.1,31.3,22.9,73.5,1
1911,162.4,28.7,32.2,22.8,70.3,1
1912,158.7,29.8,33.9,23.1,67.28,1
1913,169.6,30.8,36.1,23.9,66.79,1
1914,150.3,31,36.3,23.8,65.5,1
1915,122,30.8,36.2,24,67.25,1
1916,96.2,29.7,35.5,24.8,74.83,1
1917,80.4,27,30.2,24.2,84.51,1
1918,79.3,26.1,26.1,24.1,88.74,1
1919,48.8,26,26,24,88.74,2
1920,46.5,25.1,25.1,24.1,94.14,2
1921,39.3,25.8,25.8,24.2,90.87,2
1922,36.7,26,26,25,94.18,2
1923,40.5,26,26,24.8,92.93,2
1924,34.6,26,26,24,88.74,2
1925,33.5,25.1,25.1,24.1,94.17,2
1926,32.7,25,25,24,94.18,2
1927,31.3,25,25,24,94.17,2
1928,43.6,25,25,24,94.17,2
1929,87.1,24.9,24.9,24.1,95.13,2
1930,136.2,27.8,32.2,24.9,84.31,1
1931,164,29.8,34.7,23.9,70.76,1
1932,210.8,30,35,23.9,69.82,2
1933,203.1,31.7,37.6,24.1,63.95,2
1934,214,32.8,38.8,23.9,59.62,2
1935,223.9,32.7,41.4,25.8,66.88,2
1936,177,32,39.3,25.1,66.74,1
1937,187.2,32.7,40.1,24.9,63.52,1
1938,168.9,33,40.9,25.2,63.58,1
1939,134.3,32,38,24.1,62.94,1
1940,106.5,31,37.4,24.8,69.59,1
1941,84.4,29,34.6,25,78.82,1
1942,72.8,28,32.7,25,83.81,1
1943,38.3,28,31.9,24,78.96,1
1944,28.5,26.3,26.3,23.9,86.69,1
1945,20.5,26,26,23.9,88.14,2
1946,15.4,26,26,23.9,88.16,2
1947,21.3,25.7,25.7,24.1,90.54,2
1948,16.6,25,25,24,94.17,2
1949,12.5,25,25,24,94.17,2
1950,14.5,24.8,24.8,23.8,94.18,2
1951,17.8,24.8,24.8,23.8,94.18,2
1952,35.7,24.8,24.8,23.8,94.18,2
1953,78,25,25,24.1,94.51,2
1954,125.9,28,32.7,25,83.81,1
1955,166.7,30,36.2,25,74.61,1
1956,166.3,30.8,37.3,24.9,70.89,1
1957,119.2,31.8,37.8,24.2,64.17,1
1958,147.5,31,37.8,25,70.42,1
1959,175.5,31.7,40.3,26.1,71.97,1
1960,151.6,33.7,40.4,24.2,57.54,1
1961,97.9,29,32.8,23,70.06,1
1962,105.9,25.2,25.2,23.9,92.55,2
1963,79.6,24.8,24.8,23.2,90.83,2
1964,75.8,25,25,23.1,88.99,2
1965,71.1,25,25,23.2,89.59,2
1966,65.1,25.3,25.3,23.8,91.37,2
1967,34.5,26,26,24,88.78,2
1968,36.5,25.8,25.8,23.9,89.36,2
1969,29.5,25.3,25.3,24,92.62,2
1970,21.3,25.1,25.1,23.9,93.24,2
1971,21.1,25,25,23.9,93.55,2
1972,19.8,24.8,24.8,23.8,94.18,2
1973,18.4,24.8,24.8,23.8,94.18,2
1974,21.7,24.8,24.8,23.8,94.18,2
1975,21.3,24.1,24.1,23.2,94.78,2
1976,28.9,24.8,24.8,23.8,94.18,2
1977,62.5,24.1,24.1,23.9,98.98,2
1978,94.5,27,30.1,23.9,83.13,1
1979,134.9,29.1,33.7,24.1,74.49,1
1980,151.7,30.2,36.2,24.8,72.87,1
1981,153.4,32.8,40.3,25,63.73,1
1982,161.1,33.1,38.3,23.2,56.19,1
1983,176.6,31.2,39.1,25.8,72.99,1
1984,192.3,32.7,41.3,25.7,66.69,1
1985,173.9,33.7,41.4,24.9,60.04,1
1986,97.5,25.8,25.8,24,89.79,2
1987,79.9,24.8,24.8,24.2,96.36,2
1988,68.2,25.1,25.1,24.8,98.26,2
1989,44.3,25,25,24.7,98.26,2
1990,41.8,25,25,25,99.95,2
1991,22.3,25.7,25.7,24.2,91.17,2
1992,20.5,25.1,25.1,24.2,94.82,2
1993,27.4,26,26,25,94.21,2
1994,19.8,26,26,25,94.21,2
1995,20.5,25.1,25.1,24.2,94.83,2
1996,17.5,25.1,25.1,24.7,97.98,2
1997,17.8,25.1,25.1,24.8,98.31,2
1998,16.9,24.1,24.1,24.1,99.95,2
1999,15.5,25,25,24,94.19,2
2000,21.9,24.1,24.1,24,99.63,2
2001,47.2,24.8,24.8,24,95.47,2
2002,81.1,24.8,24.8,24,95.44,2
2003,89.9,24,24,23,94.12,2
2004,86.6,24.8,24.8,23.9,94.81,2
2005,83.6,25,25,24,94.17,2
2006,90.2,25,25,23.8,92.88,2
2007,99.1,26.1,26.1,24.7,92.32,1
2008,118.2,27,30.2,24.2,84.57,1
2009,103.6,28.1,32.2,24.2,79.49,1
2010,76.2,28.7,33.8,24.8,79.31,1
2011,66.2,27.8,31.5,24,80,1
2012,64.3,27,30.1,24,83.7,1
2013,52.9,26.7,29.2,23.1,80.42,1
2014,42.8,26,26,24,88.76,2
2015,21.7,25.1,25.1,23.9,93.24,2
2016,19.2,25.1,25.1,23.9,93.24,2
2017,16.9,24.8,24.8,23.8,94.18,2
2018,18.4,24.8,24.8,23.9,94.82,2
2019,18.9,24.3,24.3,23.8,96.98,2
2020,18.8,25,25,24,94.17,2
2021,17.9,24.8,24.8,23.8,94.18,2
2022,21,24.7,24.7,23.8,94.5,2
2023,18.5,24.8,24.8,23.8,94.17,2
2024,19.2,24.8,24.8,23.8,94.18,2
2025,38.4,24.9,24.9,23.8,93.53,2
2026,51.3,26.8,29.6,23.9,84.2,1
2027,74.5,28,31.3,23,74.3,1
2028,70.1,29.1,33.5,23.8,73.19,1
2029,78.5,30.3,35.2,23.7,67.97,1
2030,85.2,31.7,37.3,23.8,62.85,1
2031,84.4,32.1,38.1,24.1,62.7,1
2032,85.7,32.1,39.5,25.2,66.97,1
2033,100.1,31,37.8,25,70.41,1
2034,101,32.1,40.4,25.8,69.44,1
2035,100.9,31,37.8,25,70.44,1
2036,87.4,30.1,35.3,24.1,70.29,1
2037,63.8,27.8,32.1,24.8,83.7,1
2038,51.3,27,30.6,24.9,88.17,1
2039,33.4,28,32,24,78.9,1
2040,34.4,27.1,30.8,25,88.5,1
2041,30.6,27,30.6,25,88.79,1
2042,31,27,30.6,25,88.81,1
2043,28.3,27,30.6,24.9,88.22,1
2044,26,27,30.6,25,88.81,1
2045,29,27,30.6,25,88.79,1
2046,29,26.8,30.1,25,90,1
2047,29.4,26.3,26.3,24.9,92.03,1
2048,36,26.1,26.1,24.8,92.62,1
2049,92.7,26.7,29.9,24.9,89.72,1
2050,135.4,27.3,31.1,24.8,86.19,1
2051,160.1,29.8,34.8,24.1,71.49,1
2052,161.9,28.1,31.9,23.8,77.55,1
2053,153.5,30.3,36.4,24.8,72.39,1
2054,117.9,31,37.5,24.8,69.48,1
2055,172,31.8,38.7,24.9,66.95,1
2056,191.3,30.8,37.6,25.2,72.02,1
2057,181.5,30.1,37.4,25.9,78.34,1
2058,155.2,29.8,36.8,25.8,79.11,1
2059,124.4,29.1,35.6,25.9,83.01,1
