Epoch: 91499, RMSE: 0.5492938756942749, Test RMSE: 0.485772967338562, G_loss: 10.643619537353516, D_loss: -18.84427261352539, grad_pen: 4.773137001620365
Epoch: 91599, RMSE: 0.5273699164390564, Test RMSE: 0.5343002676963806, G_loss: 4.889129161834717, D_loss: -14.783587455749512, grad_pen: 4.0778473564162985
Epoch: 91699, RMSE: 0.5114883184432983, Test RMSE: 0.5253480076789856, G_loss: 6.8056206703186035, D_loss: -18.240060806274414, grad_pen: 4.692907366592432
Epoch: 91799, RMSE: 0.525170087814331, Test RMSE: 0.5209293961524963, G_loss: 14.613100051879883, D_loss: -17.385570526123047, grad_pen: 4.22944153696894
Epoch: 91899, RMSE: 0.5807904601097107, Test RMSE: 0.5406796336174011, G_loss: 10.088312149047852, D_loss: -18.604629516601562, grad_pen: 4.472102633471302
Epoch: 91999, RMSE: 0.500292956829071, Test RMSE: 0.48895198106765747, G_loss: 17.795995712280273, D_loss: -18.799381256103516, grad_pen: 4.8974771366348175
Epoch: 92099, RMSE: 0.4916273355484009, Test RMSE: 0.548720121383667, G_loss: 19.165481567382812, D_loss: -18.89202880859375, grad_pen: 5.1196738667666
Epoch: 92199, RMSE: 0.5303672552108765, Test RMSE: 0.5572929978370667, G_loss: -11.241365432739258, D_loss: -18.344528198242188, grad_pen: 4.871005537781984
Epoch: 92299, RMSE: 0.5624743700027466, Test RMSE: 0.47944533824920654, G_loss: 11.138641357421875, D_loss: -16.092529296875, grad_pen: 6.757687949510858
Epoch: 92399, RMSE: 0.5472602844238281, Test RMSE: 0.6015571355819702, G_loss: 12.90708065032959, D_loss: -18.685646057128906, grad_pen: 4.881970194922627
Epoch: 92499, RMSE: 0.4894930422306061, Test RMSE: 0.5023309588432312, G_loss: 5.363287925720215, D_loss: -19.309856414794922, grad_pen: 5.348393338269895
Epoch: 92599, RMSE: 0.5211401581764221, Test RMSE: 0.5068391561508179, G_loss: 7.644599437713623, D_loss: -18.81862449645996, grad_pen: 4.963721878388569
Epoch: 92699, RMSE: 0.9494233727455139, Test RMSE: 0.6219918131828308, G_loss: 8.278374671936035, D_loss: -18.684236526489258, grad_pen: 4.986956973862051
Epoch: 92799, RMSE: 0.4777396023273468, Test RMSE: 0.47914743423461914, G_loss: 7.463384628295898, D_loss: -17.19100570678711, grad_pen: 5.3266554366939225
Epoch: 92899, RMSE: 0.7024314403533936, Test RMSE: 0.5143728852272034, G_loss: 8.939290046691895, D_loss: -18.809314727783203, grad_pen: 5.84450743243087
Epoch: 92999, RMSE: 1.0917454957962036, Test RMSE: 0.5050716996192932, G_loss: 5.478112697601318, D_loss: -18.942243576049805, grad_pen: 5.232446738273015
Epoch: 93099, RMSE: 1.4139951467514038, Test RMSE: 0.9877378344535828, G_loss: 10.44308853149414, D_loss: -18.726627349853516, grad_pen: 3.868536058500781
Epoch: 93199, RMSE: 0.868087112903595, Test RMSE: 0.6786282658576965, G_loss: 28.31060028076172, D_loss: -18.962116241455078, grad_pen: 4.396365194662086
Epoch: 93299, RMSE: 0.4944818913936615, Test RMSE: 0.5190722346305847, G_loss: 9.222516059875488, D_loss: -18.82295799255371, grad_pen: 5.28860995847363
Epoch: 93399, RMSE: 0.47158321738243103, Test RMSE: 0.5009231567382812, G_loss: 39.49916458129883, D_loss: -17.5162353515625, grad_pen: 8.27587727473044
Epoch: 93499, RMSE: 0.9191499948501587, Test RMSE: 0.4772202670574188, G_loss: 11.517157554626465, D_loss: -19.22797966003418, grad_pen: 4.8873807765811215
Epoch: 93599, RMSE: 0.8075474500656128, Test RMSE: 0.6081293225288391, G_loss: 10.36345100402832, D_loss: -18.718496322631836, grad_pen: 6.364951843451441
Epoch: 93699, RMSE: 0.5189100503921509, Test RMSE: 0.460541695356369, G_loss: 12.361215591430664, D_loss: -18.836238861083984, grad_pen: 4.822730702159693
Epoch: 93799, RMSE: 0.4893825650215149, Test RMSE: 0.5420165657997131, G_loss: 25.87017059326172, D_loss: -18.87226104736328, grad_pen: 4.553663051246544
Epoch: 93899, RMSE: 0.4860217869281769, Test RMSE: 0.4844248294830322, G_loss: 10.299928665161133, D_loss: -18.579187393188477, grad_pen: 4.483098345397058
Epoch: 93999, RMSE: 1.6368703842163086, Test RMSE: 1.5750426054000854, G_loss: 3.1148200035095215, D_loss: -14.485958099365234, grad_pen: 5.739421759757009
Epoch: 94099, RMSE: 0.7797613739967346, Test RMSE: 0.610815167427063, G_loss: 3.330801486968994, D_loss: -11.504064559936523, grad_pen: 2.230601927229339
Epoch: 94199, RMSE: 0.6069452166557312, Test RMSE: 0.7284483909606934, G_loss: -19.433591842651367, D_loss: -15.16061019897461, grad_pen: 2.8693046241221905
Epoch: 94299, RMSE: 0.5391393899917603, Test RMSE: 0.5951836109161377, G_loss: -6.600598335266113, D_loss: -17.520694732666016, grad_pen: 4.860231996844282
Epoch: 94399, RMSE: 0.5134991407394409, Test RMSE: 0.5238175988197327, G_loss: 110.826416015625, D_loss: -17.474178314208984, grad_pen: 5.090764076241978
Epoch: 94499, RMSE: 0.5319832563400269, Test RMSE: 0.5032963752746582, G_loss: 9.556923866271973, D_loss: -18.17371368408203, grad_pen: 5.158891372914118
Epoch: 94599, RMSE: 0.5057097673416138, Test RMSE: 0.6179474592208862, G_loss: 5.14624547958374, D_loss: -18.270652770996094, grad_pen: 5.864113274093667
Epoch: 94699, RMSE: 0.5008726716041565, Test RMSE: 0.4989842474460602, G_loss: 13.951839447021484, D_loss: -18.873125076293945, grad_pen: 5.054028796091648
