Epoch: 48299, RMSE: 0.6198253035545349, Test RMSE: 0.6168957352638245, G_loss: -14.295587539672852, D_loss: -23.89971351623535, grad_pen: 7.753638739184235
Epoch: 48399, RMSE: 0.581258237361908, Test RMSE: 0.592781126499176, G_loss: -11.884443283081055, D_loss: -24.67499351501465, grad_pen: 7.8122154891213675
Epoch: 48499, RMSE: 0.6170416474342346, Test RMSE: 0.6124475002288818, G_loss: -14.822025299072266, D_loss: -24.201496124267578, grad_pen: 7.7246016408657745
Epoch: 48599, RMSE: 0.6876561045646667, Test RMSE: 0.6028950214385986, G_loss: -17.14382553100586, D_loss: -24.455322265625, grad_pen: 7.304192117103494
Epoch: 48699, RMSE: 0.6005017161369324, Test RMSE: 0.575256884098053, G_loss: -20.961923599243164, D_loss: -24.50238609313965, grad_pen: 6.945580775107496
Epoch: 48799, RMSE: 0.6120243072509766, Test RMSE: 0.5960575342178345, G_loss: -20.117475509643555, D_loss: -24.90157127380371, grad_pen: 6.959939448797051
Epoch: 48899, RMSE: 0.5760092735290527, Test RMSE: 0.6251427531242371, G_loss: -18.986249923706055, D_loss: -24.316862106323242, grad_pen: 7.834066567161853
Epoch: 48999, RMSE: 0.6672203540802002, Test RMSE: 0.685538649559021, G_loss: -0.7133682370185852, D_loss: -23.59671401977539, grad_pen: 7.110275052185702
Epoch: 49099, RMSE: 0.5643746256828308, Test RMSE: 0.7140982747077942, G_loss: -15.648675918579102, D_loss: -23.981462478637695, grad_pen: 7.142791636958689
Epoch: 49199, RMSE: 0.6358851194381714, Test RMSE: 0.6247259974479675, G_loss: -14.995872497558594, D_loss: -24.113143920898438, grad_pen: 7.338552684917678
Epoch: 49299, RMSE: 0.6426153182983398, Test RMSE: 0.621412992477417, G_loss: -17.549209594726562, D_loss: -23.40839385986328, grad_pen: 8.61076344431726
Epoch: 49399, RMSE: 0.6123406887054443, Test RMSE: 0.6035277843475342, G_loss: -18.450990676879883, D_loss: -24.045610427856445, grad_pen: 6.843418527447702
Epoch: 49499, RMSE: 0.66144198179245, Test RMSE: 0.6250272393226624, G_loss: -14.453397750854492, D_loss: -23.539762496948242, grad_pen: 7.7999324171290665
Epoch: 49599, RMSE: 0.5947569012641907, Test RMSE: 0.6045602560043335, G_loss: -17.794200897216797, D_loss: -23.692262649536133, grad_pen: 6.913785695068908
Epoch: 49699, RMSE: 0.6156073808670044, Test RMSE: 0.6172717213630676, G_loss: -16.624292373657227, D_loss: -22.93242645263672, grad_pen: 7.201740676195651
Epoch: 49799, RMSE: 0.5816459655761719, Test RMSE: 0.5706830620765686, G_loss: -13.292472839355469, D_loss: -24.481081008911133, grad_pen: 7.938928961278688
Epoch: 49899, RMSE: 0.6275991797447205, Test RMSE: 0.5921510457992554, G_loss: -14.004071235656738, D_loss: -24.64453125, grad_pen: 6.495188950514899
Epoch: 49999, RMSE: 0.6320831179618835, Test RMSE: 0.584976315498352, G_loss: -9.911615371704102, D_loss: -23.628355026245117, grad_pen: 7.780706325835649
Epoch: 50099, RMSE: 0.6609347462654114, Test RMSE: 0.6525639891624451, G_loss: -11.069574356079102, D_loss: -24.565753936767578, grad_pen: 7.0396901366828155
Epoch: 50199, RMSE: 0.5971933007240295, Test RMSE: 0.7128446102142334, G_loss: -10.510087966918945, D_loss: -24.10771942138672, grad_pen: 7.314671468366988
Epoch: 50299, RMSE: 0.574120044708252, Test RMSE: 0.6950839757919312, G_loss: -11.151269912719727, D_loss: -24.594682693481445, grad_pen: 7.570810429198298
Epoch: 50399, RMSE: 0.6462627649307251, Test RMSE: 0.5671074390411377, G_loss: -15.363513946533203, D_loss: -24.595260620117188, grad_pen: 6.72354570372811
Epoch: 50499, RMSE: 0.6073494553565979, Test RMSE: 0.700047492980957, G_loss: -8.420966148376465, D_loss: -24.809825897216797, grad_pen: 7.8800884916467435
Epoch: 50599, RMSE: 0.6106560230255127, Test RMSE: 0.6289699077606201, G_loss: 0.6670767664909363, D_loss: -23.847366333007812, grad_pen: 10.494071420438067
Epoch: 50699, RMSE: 0.5897903442382812, Test RMSE: 0.7969464063644409, G_loss: -1.000629186630249, D_loss: -24.47055435180664, grad_pen: 7.67960839263366
Epoch: 50799, RMSE: 0.7205402851104736, Test RMSE: 0.59712153673172, G_loss: -7.546530723571777, D_loss: -24.941564559936523, grad_pen: 6.320977537485901
Epoch: 50899, RMSE: 0.6349899172782898, Test RMSE: 0.6204295754432678, G_loss: -5.950041770935059, D_loss: -22.091873168945312, grad_pen: 8.122897049643635
Epoch: 50999, RMSE: 0.6036248803138733, Test RMSE: 0.6456784009933472, G_loss: -9.478422164916992, D_loss: -25.08168601989746, grad_pen: 8.074628904753423
Epoch: 51099, RMSE: 0.63152676820755, Test RMSE: 0.6031726002693176, G_loss: -7.221446514129639, D_loss: -24.952112197875977, grad_pen: 7.720713330020455
Epoch: 51199, RMSE: 0.6162347793579102, Test RMSE: 0.5657022595405579, G_loss: -10.07426929473877, D_loss: -24.436187744140625, grad_pen: 9.851130383010727
Epoch: 51299, RMSE: 0.6127978563308716, Test RMSE: 0.6122649312019348, G_loss: -19.533493041992188, D_loss: -24.977916717529297, grad_pen: 7.808850232999394
Epoch: 51399, RMSE: 0.6612414717674255, Test RMSE: 0.5888497233390808, G_loss: -19.149349212646484, D_loss: -25.400253295898438, grad_pen: 7.069683669387695
Epoch: 51499, RMSE: 0.6001946330070496, Test RMSE: 0.5952885746955872, G_loss: -8.152803421020508, D_loss: -24.38936996459961, grad_pen: 7.733943847954339
Epoch: 51599, RMSE: 0.884042501449585, Test RMSE: 0.6796899437904358, G_loss: -11.635476112365723, D_loss: -24.344404220581055, grad_pen: 7.910947880965912
Epoch: 51699, RMSE: 0.8007680773735046, Test RMSE: 0.5626787543296814, G_loss: -12.523259162902832, D_loss: -24.95412826538086, grad_pen: 7.822330199182907
Epoch: 51799, RMSE: 0.5818030834197998, Test RMSE: 0.5806527137756348, G_loss: -28.595821380615234, D_loss: -24.69986915588379, grad_pen: 8.364080899881191
Epoch: 51899, RMSE: 0.6283262968063354, Test RMSE: 0.6132924556732178, G_loss: -15.614282608032227, D_loss: -24.783218383789062, grad_pen: 8.29967914611385
Epoch: 51999, RMSE: 0.610066831111908, Test RMSE: 0.603405237197876, G_loss: -18.820751190185547, D_loss: -25.51763916015625, grad_pen: 7.567696582040574
Epoch: 52099, RMSE: 0.6203569769859314, Test RMSE: 0.6366952657699585, G_loss: -27.108535766601562, D_loss: -23.928861618041992, grad_pen: 5.149101589863818
Epoch: 52199, RMSE: 0.6118447184562683, Test RMSE: 0.6179335117340088, G_loss: -10.51657485961914, D_loss: -24.71860122680664, grad_pen: 7.661808001938636
Epoch: 52299, RMSE: 0.6084160804748535, Test RMSE: 0.5813916921615601, G_loss: -18.330615997314453, D_loss: -25.371509552001953, grad_pen: 7.353572117999779
Epoch: 52399, RMSE: 0.593041718006134, Test RMSE: 0.5665894150733948, G_loss: -16.208282470703125, D_loss: -25.54592514038086, grad_pen: 7.791821708755593
